Name,gas,0,15,30,45
14097_lake_020,N2O,0.114084965,0.614084965,1.114084965,1.614084965
14097_lake_020,CO2,0.994983107,1.494983107,1.994983107,2.494983107
14097_lake_020,CH4,0.936672071,1.436672071,1.936672071,2.436672071
14097_lake_021,N2O,0.639762089,1.139762089,1.639762089,2.139762089
14097_lake_021,CO2,0.375098568,0.875098568,1.375098568,1.875098568
14097_lake_021,CH4,0.507508039,1.007508039,1.507508039,2.007508039
14097_lake_030,N2O,0.579968195,1.079968195,1.579968195,2.079968195
14097_lake_030,CO2,0.347001504,0.847001504,1.347001504,1.847001504
14097_lake_030,CH4,0.977750567,1.477750567,1.977750567,2.477750567
14097_lake_031,N2O,0.168223583,0.668223583,1.168223583,1.668223583
14097_lake_031,CO2,0.938076522,1.438076522,1.938076522,2.438076522
14097_lake_031,CH4,0.246493574,0.746493574,1.246493574,1.746493574
14097_lake_032,N2O,0.168086583,0.668086583,1.168086583,1.668086583
14097_lake_032,CO2,0.672232015,1.172232015,1.672232015,2.172232015
14097_lake_032,CH4,0.275110597,0.775110597,1.275110597,1.775110597
14097_lake_033,N2O,0.81250658,1.31250658,1.81250658,2.31250658
14097_lake_033,CO2,0.663185485,1.163185485,1.663185485,2.163185485
14097_lake_033,CH4,0.616381992,1.116381992,1.616381992,2.116381992
14097_lake_035,N2O,0.998611222,1.498611222,1.998611222,2.498611222
14097_lake_035,CO2,0.148953036,0.648953036,1.148953036,1.648953036
14097_lake_035,CH4,0.79891665,1.29891665,1.79891665,2.29891665
14097_lake_036,N2O,0.592936865,1.092936865,1.592936865,2.092936865
14097_lake_036,CO2,0.068250629,0.568250629,1.068250629,1.568250629
14097_lake_036,CH4,0.421706865,0.921706865,1.421706865,1.921706865
14097_lake_040,N2O,0.887943355,1.387943355,1.887943355,2.387943355
14097_lake_040,CO2,0.755877828,1.255877828,1.755877828,2.255877828
14097_lake_040,CH4,0.169871415,0.669871415,1.169871415,1.669871415
14097_lake_041,N2O,0.411834147,0.911834147,1.411834147,1.911834147
14097_lake_041,CO2,0.452260313,0.952260313,1.452260313,1.952260313
14097_lake_041,CH4,0.430410831,0.930410831,1.430410831,1.930410831
14097_lake_042,N2O,0.301678641,0.801678641,1.301678641,1.801678641
14097_lake_042,CO2,0.845690608,1.345690608,1.845690608,2.345690608
14097_lake_042,CH4,0.148253215,0.648253215,1.148253215,1.648253215
14097_lake_044,N2O,0.438549012,0.938549012,1.438549012,1.938549012
14097_lake_044,CO2,0.651264628,1.151264628,1.651264628,2.151264628
14097_lake_044,CH4,0.028629408,0.528629408,1.028629408,1.528629408
14097_lake_046,N2O,0.947824224,1.447824224,1.947824224,2.447824224
14097_lake_046,CO2,0.939668789,1.439668789,1.939668789,2.439668789
14097_lake_046,CH4,0.570968203,1.070968203,1.570968203,2.070968203
14097_lake_047,N2O,0.820731462,1.320731462,1.820731462,2.320731462
14097_lake_047,CO2,0.474148894,0.974148894,1.474148894,1.974148894
14097_lake_047,CH4,0.65759025,1.15759025,1.65759025,2.15759025
14097_lake_050,N2O,0.399662207,0.899662207,1.399662207,1.899662207
14097_lake_050,CO2,0.349542387,0.849542387,1.349542387,1.849542387
14097_lake_050,CH4,0.753517459,1.253517459,1.753517459,2.253517459
14097_lake_051,N2O,0.30396185,0.80396185,1.30396185,1.80396185
14097_lake_051,CO2,0.585442699,1.085442699,1.585442699,2.085442699
14097_lake_051,CH4,0.908512742,1.408512742,1.908512742,2.408512742
14097_lake_052,N2O,0.470223852,0.970223852,1.470223852,1.970223852
14097_lake_052,CO2,0.685793811,1.185793811,1.685793811,2.185793811
14097_lake_052,CH4,0.22273564,0.72273564,1.22273564,1.72273564
14097_lake_053,N2O,0.742833872,1.242833872,1.742833872,2.242833872
14097_lake_053,CO2,0.781380779,1.281380779,1.781380779,2.281380779
14097_lake_053,CH4,0.397287398,0.897287398,1.397287398,1.897287398
14097_lake_056,N2O,0.84640249,1.34640249,1.84640249,2.34640249
14097_lake_056,CO2,0.986310804,1.486310804,1.986310804,2.486310804
14097_lake_056,CH4,0.196818471,0.696818471,1.196818471,1.696818471
14097_lake_057,N2O,0.529095179,1.029095179,1.529095179,2.029095179
14097_lake_057,CO2,0.21973648,0.71973648,1.21973648,1.71973648
14097_lake_057,CH4,0.539925311,1.039925311,1.539925311,2.039925311
14097_lake_122,N2O,0.8014293,1.3014293,1.8014293,2.3014293
14097_lake_122,CO2,0.137851559,0.637851559,1.137851559,1.637851559
14097_lake_122,CH4,0.569430672,1.069430672,1.569430672,2.069430672
